City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount isa,-20.7333,139.5,24.87,57,10,3.6,AU,1680119429
1,palafrugell,41.9174,3.1631,14.42,52,12,2.24,ES,1680119430
2,saint george,37.1041,-113.5841,19.58,26,0,5.14,US,1680119268
3,port alfred,-33.5906,26.891,15.66,71,100,2.68,ZA,1680119430
4,albany,42.6001,-73.9662,13.23,32,97,2.24,US,1680119430
5,bengkulu,-3.8004,102.2655,24.22,88,94,2.1,ID,1680119211
6,kahului,20.8947,-156.47,26.65,72,20,5.36,US,1680119428
7,jamestown,42.097,-79.2353,7.8,47,75,9.77,US,1680119385
8,rikitea,-23.1203,-134.9692,26.35,78,80,3.79,PF,1680119431
9,ushuaia,-54.8,-68.3,4.81,56,40,7.72,AR,1680119431
10,chokurdakh,70.6333,147.9167,-34.06,100,99,2.42,RU,1680119432
11,katsuura,35.1333,140.3,11.84,81,16,1.79,JP,1680119208
12,thompson,55.7435,-97.8558,-3.91,42,75,5.14,CA,1680119433
13,lake charles,30.2131,-93.2044,19.12,61,75,6.17,US,1680119348
14,santa helena,-2.2311,-45.3,23.85,97,100,1.31,BR,1680119433
15,bluff,-46.6,168.3333,5.45,73,16,6.27,NZ,1680119433
16,cape town,-33.9258,18.4232,16.18,76,20,4.12,ZA,1680119404
17,korla,41.7597,86.1469,13.36,17,92,2.05,CN,1680119434
18,media luna,20.1419,-77.435,28.81,57,16,4.45,CU,1680119434
19,puerto del rosario,28.5004,-13.8627,23.86,38,0,8.75,ES,1680119435
20,esperance,-33.8667,121.9,15.29,84,100,4.07,AU,1680119435
21,vaini,-21.2,-175.2,23.09,94,40,1.03,TO,1680119435
22,alta floresta,-9.8756,-56.0861,23.9,88,75,1.54,BR,1680119229
23,te anau,-45.4167,167.7167,2.06,91,53,0.53,NZ,1680119272
24,songjianghe,42.1859,127.479,1.23,76,11,2.67,CN,1680119436
25,koson,39.0375,65.585,19.18,35,18,2.7,UZ,1680119436
26,nyurba,63.2842,118.3319,-13.19,94,100,3.37,RU,1680119274
27,flinders,-34.5833,150.8552,15.14,80,15,0.89,AU,1680119437
28,moshenskoye,58.5102,34.5911,3.35,98,100,2.82,RU,1680119437
29,punta arenas,-53.15,-70.9167,7.01,56,40,2.57,CL,1680118999
30,kaitangata,-46.2817,169.8464,8.16,67,90,3.01,NZ,1680119437
31,san giovanni in fiore,39.2633,16.6996,3.53,45,37,2.82,IT,1680119438
32,gravdal,68.1214,13.5031,-5.1,58,14,1.34,NO,1680119438
33,longyearbyen,78.2186,15.6401,-12.09,79,40,1.03,SJ,1680119350
34,busselton,-33.65,115.3333,15.41,71,86,6.44,AU,1680119438
35,axim,4.8699,-2.2405,27.32,83,74,4.91,GH,1680119438
36,hilo,19.7297,-155.09,24.97,89,100,7.72,US,1680119324
37,severo-kurilsk,50.6789,156.125,-0.58,63,7,2.86,RU,1680119439
38,luebo,-5.35,21.4167,22.01,94,95,0.93,CD,1680119439
39,aswan,24.0934,32.907,26.61,11,0,3.09,EG,1680119439
40,vila franca do campo,37.7167,-25.4333,16.23,87,100,6.21,PT,1680119439
41,chapais,49.7834,-74.8492,-1.12,83,100,4.15,CA,1680119440
42,stokmarknes,68.5646,14.9108,-6.02,62,92,2.06,NO,1680119440
43,hays,30.0502,-98.0336,22.0,55,100,4.36,US,1680119359
44,ahipara,-35.1667,173.1667,11.84,67,100,2.19,NZ,1680119440
45,paita,-5.0892,-81.1144,27.27,74,97,5.76,PE,1680119441
46,eureka,40.8021,-124.1637,14.0,58,84,2.68,US,1680119441
47,dikson,73.5069,80.5464,-20.09,100,100,2.68,RU,1680119441
48,hermanus,-34.4187,19.2345,13.22,75,55,0.99,ZA,1680119441
49,nago,26.5881,127.9761,19.24,83,100,9.07,JP,1680119442
50,watsa,3.0372,29.5355,19.34,87,100,1.16,CD,1680119442
51,bredasdorp,-34.5322,20.0403,14.77,71,63,2.41,ZA,1680119442
52,kautokeino,69.0125,23.0412,-6.83,95,100,5.58,NO,1680119442
53,yulin,22.6333,110.15,17.36,95,100,1.67,CN,1680119443
54,whitianga,-36.8333,175.7,10.41,69,0,2.81,NZ,1680119240
